theme,post_text,label
attacks,"Tristesse...😢🙏 \n#Bataclan sold out, musiciens &amp; public en osmose...Quelques minutes avant le drame. #paixauxvictimes https://t.co/KGn8zFbiEO",0
attacks,RT @Proyecto40: #ÚltimaHora Espectacular fotografía sacada antes de los ataques en la sala del teatro Bataclan. https://t.co/mSBls4Ezgn,0
attacks,RT @Javivi1976: #Bataclan esta noche antes de los atentados. @playradiovlc https://t.co/ThfGdHtIjg,0
attacks,"RT @Pizzigatas: El hombre tiene que establecer un final para la guerra. Sino, ésta establecerá un fin para la humanidad.\n#Paris https://t.c…",0
attacks,🇫🇷 #Paris https://t.co/zjjRPC7USm,0
attacks,RT @Soy_Donante: #EaglesOfDeathMetal antes del Ataque terrorista en Teatro Bataclan https://t.co/qcKUUp4ioe,0
attacks,Foto Antes Del Atentato En El Bacatlan \n#Paris 🙏🙏 https://t.co/j5rjSQw4ad,0
attacks,RT @anaidmartinezm: Foto Antes Del Atentato En El Bacatlan \n#Paris 🙏🙏 https://t.co/j5rjSQw4ad,0
attacks,RT @marcelomena: Esta foto se tomó al inicio de recital en París. Nadie podrá parar la felicidad que brinda la música. https://t.co/qHgEDh9…,0
attacks,Işte o konser salonu! Teröristler ellerinde uzun namlulu silahlarla salonu taradı #ParisAttacks #Fransa https://t.co/3Wuesj4yOJ,0
attacks,Paris'te 100 kişiye yakın insanın öldügü konserin saldırı öncesi.. Mutlu yüzler..\n#ParisAttacks #ParisUnderAttack https://t.co/oR9RL7JCg4,0
attacks,RT @ilya_directx: @BBCBreaking @SkyNews picture at Bataclan concert minutes before terrorist attack https://t.co/zjfXbopyh2,0
attacks,RT @ernimol: @JoostNiemoller Dit schijnt een foto te zijn van het concert vlak voordat ze binnen kwamen https://t.co/GS18xU7rro,0
attacks,RT @adnanturkkan: Işte o konser salonu! Teröristler ellerinde uzun namlulu silahlarla salonu taradı #ParisAttacks #Fransa https://t.co/3Wue…,0
attacks,"El hombre tiene que establecer un final para la guerra. Sino, ésta establecerá un fin para la humanidad.\n#Paris https://t.co/eS4sPVAIo7",0
attacks,"RT @Pizzigatas: El hombre tiene que establecer un final para la guerra. Sino, ésta establecerá un fin para la humanidad.\n#Paris https://t.c…",0
attacks,Λιγες στιγμες πριν.... #ParisAttacks #Bataclan https://t.co/BF01C6XYe4,0
attacks,RT @DominiqueNad: Salle du Bataclan https://t.co/UH7QFZr5tu,0
attacks,"RT @danrem: Konon, inside The Bataclan concert before the attack. How life can change in a second. #Pray4Paris https://t.co/6RESZL0nPh",0
attacks,"RT @danrem: Konon, inside The Bataclan concert before the attack. How life can change in a second. #Pray4Paris https://t.co/6RESZL0nPh",0
attacks,RT @TempleMestalla: Esta es la discoteca.... buffff.... https://t.co/Gzn9PAEcku,0
attacks,La vie peut basculer en une seconde : la preuve !! #Fusillade #ParisAttacks #PrayForParis #Bataclan https://t.co/zUWatlm7Kz,0
attacks,Esta es la discoteca.... buffff.... https://t.co/Gzn9PAEcku,0
attacks,RT @Proyecto40: #ÚltimaHora Espectacular fotografía sacada antes de los ataques en la sala del teatro Bataclan. https://t.co/mSBls4Ezgn,0
attacks,RT @Proyecto40: #ÚltimaHora Espectacular fotografía sacada antes de los ataques en la sala del teatro Bataclan. https://t.co/mSBls4Ezgn,0
attacks,"RT @danrem: Konon, inside The Bataclan concert before the attack. How life can change in a second. #Pray4Paris https://t.co/6RESZL0nPh",0
attacks,"RT @danrem: Konon, inside The Bataclan concert before the attack. How life can change in a second. #Pray4Paris https://t.co/6RESZL0nPh",0
attacks,RT @ilya_directx: @BBCBreaking @SkyNews picture at Bataclan concert minutes before terrorist attack https://t.co/zjfXbopyh2,0
attacks,RT @ernimol: @JoostNiemoller Dit schijnt een foto te zijn van het concert vlak voordat ze binnen kwamen https://t.co/GS18xU7rro,0
attacks,RT @ernimol: @JoostNiemoller Dit schijnt een foto te zijn van het concert vlak voordat ze binnen kwamen https://t.co/GS18xU7rro,0
attacks,RT @adnanturkkan: Işte o konser salonu! Teröristler ellerinde uzun namlulu silahlarla salonu taradı #ParisAttacks #Fransa https://t.co/3Wue…,0
attacks,RT @adnanturkkan: Işte o konser salonu! Teröristler ellerinde uzun namlulu silahlarla salonu taradı #ParisAttacks #Fransa https://t.co/3Wue…,0
attacks,RT @adnanturkkan: Işte o konser salonu! Teröristler ellerinde uzun namlulu silahlarla salonu taradı #ParisAttacks #Fransa https://t.co/3Wue…,0
attacks,RT @Conflicts: PHOTO: French military deployed on the streets of #Paris as a large scale terror attack is taking place - @lepoint https://t…,1
attacks,RT @J0nDeFrance: L'armée déployée à Paris https://t.co/eyyZqIMevk,1
attacks,Attentats ah il reste deux militaires disponibles  à Paris https://t.co/FjRT1SOUj5,1
attacks,RT @saserief: “@Conflicts:  French military deployed on the streets of #Paris  large scale terror attack taking place - @lepoint https://t.…,1
