theme,post_text,label
bowie,"David Bowie as Tilda Swinton with Tilda Swinton as David Bowie #photography by Jack Cronenweth, 2013 https://t.co/clHc6h7O6w",0
bowie,#DavidBowie as Tilda Swinton and Tilda Swinton as #DavidBowie c. 2013 https://t.co/pABciN4Arj,0
bowie,David Bowie as Tilda Swinton. Swinton as Bowie. The stars look very different today #DavidBowie #RIPBowie #art https://t.co/OJtXNJsrdi,0
bowie,David Bowie and Tilda Swinton Dressed As Each Other https://t.co/WEno9UOT7k,0
bowie,"Awesomeness. David Bowie as Tilda Swinton. Tilda Swinton as David Bowie. Because, of course. http://t.co/3n2otnmcW2",0
bowie,David Bowie and Tilda Swinton switch places. RIP a true icon #DavidBowie https://t.co/ydcpqR9Owe,0
bowie,Bowie disfrazado de Tilda Swinton \nSwinton disfrazada de David Bowie. https://t.co/7cnozI92Qq,0
bowie,Tilda Swinton and David Bowie as each other. https://t.co/pv6N0S4g5P,0
bowie,"David Bowie in the form of Swinton and Tilda Swinton in the image of David Bowie, 1990 http://t.co/TVyNujJitO",0
bowie,David Bowie dressed as Tilda Swinton and Tilda dressed as David Bowie. I just reached the end of the Internet. http://t.co/25CbP9jFgI,0
bowie,Lemmy and Bowie together. This is my absolute favorite picture I've seen in a long time. #RIPDavidBowie #RIPLemmy https://t.co/xAibp0Ejin,0
bowie,Bowie and Lemmy. Together again. https://t.co/rD3U8J8HvT,0
bowie,I love this shot @DavidBowieReal @myMotorhead \nLemmy and David Bowie together\nThe years have rolled on. https://t.co/3vDNtEgnyS,0
bowie,#LEMMY #... #shows #musicians #David #Bowie #and #Lemmy #Kilmister #together #at #a #party… https://t.co/HiKnIR5xcV https://t.co/EeXlJ5Xr4q,0
bowie,David Bowie and Lemmy Kilmister https://t.co/g2tqHCr9EP,0
bowie,"Descansen en paz, David Bowie y Lemmy Kilmister. https://t.co/4HlnfTmU6B",0
bowie,"It's been a rough time for music lately. Thanks for the inspiration guys. RIP David Bowie, Lemmy and Phil Taylor. https://t.co/DKjuvJsgXS",0
bowie,RT @MaidenMoonchild: David Bowie &amp; Lemmy 😭 https://t.co/ZjolykW088,0
bowie,These kooks gonna play some stoner sludge space rock or twat! #DavidBowie #LemmyKilmister #69 #70 #foreverandever https://t.co/5Cxy04GbK2,0
bowie,RT @junkyardmax: @mooseandjrock @TeamRockBelong https://t.co/XwFdp0VVfC,0
bowie,#TheGreatestPictureEver https://t.co/201zVUrKTd,0
bowie,Justo en los feels.\n#DavidBowie #LemmyKilmister https://t.co/HPfdJww5jT,0
bowie,RT @VanRockspace: R.I.P. https://t.co/HILubuDs1M,0
bowie,RT @MaidenMoonchild: David Bowie &amp; Lemmy 😭 https://t.co/ZjolykW088,0
bowie,Bowie and Lemmy together again !!!#LemmyRIP  #bowieRIP https://t.co/6uIBoTL87v,1
bowie,"#DavidBowie + #Lemmy...I cant seem to find a pixure of Bowie, Lemmy + Natalie Cole together @iheartyma @ByrdBardot https://t.co/qOH999PYqb",1
bowie,Bowie and Lemmy together (1974?) as found in San Diego record store https://t.co/strO2sdxvW,1
bowie,RT @TommyJoeRatliff: ❤️❤️❤️❤️ https://t.co/6OjRm0eLwm,1
bowie,RT @AlexSkolnick: https://t.co/bD43ke62lR,1
bowie,RT @AlexSkolnick: https://t.co/bD43ke62lR,1
bowie,"RT @thedailybeast: Tilda Swinton on David Bowie: ""[He] looked like someone from the same planet as I did"" https://t.co/MK1mjrPILw https://t…",1
bowie,RT @iwittmann: Queria saber quantos anos mais a gente vai ter que esperar pra ver a Tilda Swinton interpretando o Bowie em uma bio. https:/…,1
bowie,OMG... #RIP David Bowie https://t.co/5P2FD9cW3J,1
bowie,"RT @MarlowNYC: Tilda Swinton on David Bowie: ""[He] looked like someone from the same planet as I did"" https://t.co/rh874z89Sw https://t.co/…",1
bowie,RT @TheFilmStage: Tilda Swinton reflects on the influence of David Bowie: https://t.co/Pt6Npt0KWA https://t.co/bk99i31lbb,1
bowie,"RT @thedailybeast: Tilda Swinton on David Bowie: ""[He] looked like someone from the same planet as I did"" https://t.co/5uxHu02wrK https://t…",1
bowie,"RT @thedailybeast: Tilda Swinton on David Bowie: ""[He] looked like someone from the same planet as I did"" https://t.co/5uxHu02wrK https://t…",1
bowie,"RT @thedailybeast: Tilda Swinton on David Bowie: ""[He] looked like someone from the same planet as I did"" https://t.co/vYGa88Nvva https://t…",1
bowie,"RT @thedailybeast: Tilda Swinton on David Bowie: ""[He] looked like someone from the same planet as I did"" https://t.co/MK1mjrPILw https://t…",1
bowie,"RT @thedailybeast: Tilda Swinton on David Bowie: ""[He] looked like someone from the same planet as I did"" https://t.co/MK1mjrPILw https://t…",1
bowie,RT @summerbrennan: https://t.co/0bGQvy9hE6,1
bowie,Forever #DavidBowie https://t.co/9GfWIvP401,1
bowie,RT @dark_shark: Words cannot express: RIP David Bowie https://t.co/g40zLWl3qq https://t.co/R94E6LMw9C,1
