theme,post_text,label
bringback,#UsMarineAtWorkAlready#BringBackOurGirls http://t.co/OKzpQQhDlM,0
bringback,Bringbackourgirls http://t.co/BSqGKGx6Hf,0
bringback,@mkmalarkey Please support this cause # BRINGBACKOURGIRLS http://t.co/Vj2zRyJtiT,0
bringback,Nigerian police on their to Sambisa forest to bringbackourgirls. http://t.co/zH5zywuWEC,0
bringback,STATUS ::: Boko Haram please BringBackOurGirls and take the RUNs girls please Biko ejo dan Allah http://t.co/KVPTFOcA2Y,0
bringback,Nigeria...#ashes#bringbackourgirls. This has to stop. http://t.co/CycvxFCEBP,0
bringback,Bringbackourgirls http://t.co/bP2vMuG19Z,0
bringback,Bringbackourgirls http://t.co/zsAkgdDp5x,0
bringback,Bringbackourgirls http://t.co/Qk49qGk8Zo,0
bringback,I can imagine d torture n pains dese girls will go thru each day in d hands of dese cruel men.# pls bringbackourgirls http://t.co/Lzx74ZktkG,0
bringback,#2014Confab BringBackOurGirls #SupportNigerianMilitary http://t.co/XTMFYA6tb9,0
bringback,BringBackOurGirls http://t.co/oAydPIQFk5,0
bringback,#BringBackOurGirls#BringBackOurGirls# http://t.co/UkpJlnjy4V,0
bringback,"#EffectualFerventAndContinue,#PrayerOfARighteousAvailsMuch#BringBackOurGirls!!! http://t.co/NvUzNDhKie",0
bringback,Bringbackourgirls http://t.co/WVN8YEsE0x,0
bringback,"#CCOO_ONO\nNos sumamos a la campaña \""devuelvan a las niñas\"" (# BringBackOurGirls ) http://t.co/bGqc2Jr18v",0
bringback,#BringBackOurGirls#BringBackOurGirls #BringBackOurGirls #BringBackOurGirls #BringBackOurGirls #BringBackOurGirls http://t.co/bwSZwXyrQc,0
bringback,Bringbackourgirls!!! http://t.co/OxhVePA7Q0,0
bringback,“RT@CarmemClar: @arturo_carmona # BringBackOurGirls : Y si fueran nuestras hijas? Derechos Humanos - Hacemos cumplir http://t.co/mGMNuTmT3F”,0
bringback,The Tears They Shed Daily is UNIMAGINABLE.\nSAY A Prayer For Them\nToday!! # BringBackOurGirls #Nigeria # solidarity http://t.co/FAzwAPsZoW,0
bringback,Show NIGERIAN CITIZENS DEMOCRACY►2women protesting BringBackOurGirls ~government arrested then►Why police arresting http://t.co/4RYeY2F16H,0
bringback,Bringbackourgirls http://t.co/JIMW548N8p,0
bringback,BringBackOurGirls http://t.co/xHZfFpzHzp,0
bringback,Thot shud join the movement just bcs I once ws a grl-fr the sake of the better wrld #bbog(bringbackourgirls) http://t.co/67K5rfOOHR,0
bringback,Pls Boko haram bringbackourgirls http://t.co/5kVKWiY45G,0
bringback,Bringbackourgirls http://t.co/sqXPctyMow,0
bringback,@JustineTimberlang @maryjblige stand tall BringBackOurGirls @GarethCliff @jennifer_su r u supporting #SATakesAStand http://t.co/dtF0OlAKO1,0
bringback,How could someone be so heartless?! BringBackOurGirls http://t.co/pvKWeadfv2,0
bringback,#NoRescueNoVote#BringBackOurGirls http://t.co/MaU2iWzRGO,0
bringback,BringBackOurGirls http://t.co/QIbCPFIU5L,0
bringback,#Retweet this pic please. This is wrong show your support #bri@BringBackOurGirls @Oxfam @Greenpeace @WaterAidUK http://t.co/NZcNYQ6TkH,0
bringback,Bringbackourgirls http://t.co/2UlcA858Wh,0
bringback,Bringbackourgirls http://t.co/t0mvFQAOZu,0
bringback,"Nos sumamos a la campaña \""devuelvan a las niñas\"" (# BringBackOurGirls ) http://t.co/iQtt5D5Qai",0
bringback,BringbackourGirls Real MeN don't buy Girls http://t.co/59a6MoiNuM,0
bringback,BringBackOurGirls http://t.co/WosXfdI9Ji,0
bringback,BringBackOurGirls Season 1: Get your copy now! http://t.co/x9SLqrWSZD,0
bringback,Bringbackourgirls http://t.co/9Sl6tA0yB1,0
bringback,Bringbackourgirls http://t.co/plQoRRw0hq,0
bringback,"Hope in-view, BringBackOurGirls http://t.co/gjEBN4p6wj",0
bringback,BRINGBACKOURGIRLS! http://t.co/DvxQO9DAmZ,0
bringback,BringBackOurGirls http://t.co/7KVmJYhYJV,0
bringback,BringBackourGirls http://t.co/BinSW4BIq4,0
bringback,#naijastandup#BringBackOurGirls...we deserve peace http://t.co/fAqlT24Z6O,0
bringback,Usarmy coming to do what dey know hw to do#Thechibokgirls#bringbackourgirls http://t.co/xlOIOZ3gyz,0
bringback,BringBackOurGirls http://t.co/t9T44gQ0jP,0
bringback,Lord I pray for the safety of these girls this morning# bringbackourgirls http://t.co/JmcUk8A4e7,0
bringback,Bringbackourgirls!# http://t.co/nS70lZSjMZ,0
bringback,"Pray for the means once not because the are not careless God knows everything, bringbackourgirls ooooohhhh http://t.co/KgBIBfE7rK",0
bringback,may allah keep them safe and reconcile them back to their loved ones 😔BringBackOurGirls http://t.co/AFTSpafDE7,0
bringback,# bringbackourgirls http://t.co/sM2cdwP27m,0
bringback,BringBackOurGirls !!!!!!! http://t.co/HbvibXGosN,0
bringback,"BringBackOurGirls http://t.co/TbnoGqExx7\"" PLZ RT #ANONFAMILY #1017 @RERPES @ANONCHIMP @RASTAMOMTISHA @ANON99PERCENTER @HumanRightsAnon #YAND",0
bringback,may allah keep them safe and reconcile them back to their loved ones 😔BringBackOurGirls http://t.co/AFTSpafDE7,0
bringback,#Bringbackourgirls#Bringbackourgirls#Bringbackourgirls#Bringbackourgirls#Bringbackourgirls#Bringbackourgirls http://t.co/ZaycTSteDm,0
bringback,Everyday tears of pain roll down their eyes for their loving children.@BringBackOurGirls pls. http://t.co/hKGYSUbHf2,0
bringback,Cele4love2007:Let's get it on! Act 1 Scene 1! Boko Haram's in trouble! #USMarines#BringBackOurGirls http://t.co/TLAUzmhObN,0
bringback,•|•BringBackOurGirls•|• http://t.co/e5g524MeC7,0
bringback,Le monde mobilisé contre la secte islamiste Boko Haram \n\nBringBackOurGirls http://t.co/k9poUZON7p,0
bringback,Bringbackourgirls http://t.co/l8rlb17xAY,0
bringback,BringBackOurGirls!!! http://t.co/O0SbpTUDlR,0
bringback,It's been two weeks since\nthe kidnapping of 234\nNigerian girls and they still\naren't home #\nbringbackourgirls\nhttp://t.co/SEg3x4tdsP,0
bringback,Nigeria's First Lady Orders Arrest Of BringBackOurGirls  Protest Leader. WHY ? http://t.co/xSd1QW7mKQ,0
bringback,#BringBackOurGirls BringBackOurGirls http://t.co/IYWnskLMsW,0
bringback,bringbackourgirls http://t.co/UW2NsBQwYG,0
bringback,"we feel your pain and still wishes you a happy Mother's Day, still we cry # BringbackourGirls  http://t.co/tkkeBeTOpb http://t.co/fM4abyX2rc",0
bringback,bringbackourgirls http://t.co/gD56tgjOoI,0
bringback,The Tears They Shed Daily is UNIMAGINABLE.\nSAY A Prayer For Them\nToday!! # BringBackOurGirls #Nigeria # solidarity http://t.co/FAzwAPsZoW,0
bringback,BringBackOurGirls!!! http://t.co/WUlPMaYdZo,0
bringback,#Retweet this pic please. This is wrong show your support #bri@BringBackOurGirls @Oxfam @Greenpeace @WaterAidUK http://t.co/NZcNYQ6TkH,0
bringback,Bringbackourgirls http://t.co/fZWTlRri15,0
bringback,Bringbackourgirls.......pls http://t.co/KNRPk6zxvk,0
bringback,#BringBackOurGirls#BringBackOurGirls RT #BringOurGirlsBack 🙏 http://t.co/3zrwg3DTar,0
bringback,BringBackOurGirls http://t.co/w0lVHmfYy0,0
bringback,Bringbackourgirls http://t.co/2M24whUDa4,0
bringback,BringBackOurGirls http://t.co/ReipCeuaWx,0
bringback,i am algerian BringBackOurGirls http://t.co/811GxNwKXa,0
bringback,Bringbackourgirls#AmericaKnowsAlready #ChibokWomen http://t.co/PieUwYI4cw,0
bringback,BringBackOurGirls http://t.co/eVfaDuGCRm,0
bringback,CRY FOR HELP PEOPLE OF WORLD..MY KIDNAPPING DAUGHTER PLZ SUPPORT ME FIND MY ONLY CHILD BringBackOurGirls☎ http://t.co/zsMGSLvjhT,0
bringback,Bringbackourgirls.... http://t.co/dqdGIQ8gN2,0
bringback,"C'est ce que VOUS, vous faites qui est HARAM #Nigeria_bokoHARAM_230girls#BringBackOurGirls# http://t.co/8f3xRJJG8A",0
bringback,Show NIGERIAN CITIZENS DEMOCRACY►2women protesting BringBackOurGirls ~government arrested then►Why police arresting http://t.co/4RYeY2F16H,0
bringback,#BringBackOurGirls #BringBackOurGirls#BringBackOurGirls  if not #AmericaWillKnow http://t.co/mlgxIZOVDH,0
bringback,"It aint bout notin, it bout dem...it bout us. BringBackOurGirls! http://t.co/h0LbcdFyfl",0
bringback,US Marine on point #Chibok234#BringBackOurGirls# http://t.co/pqesXpoBND,0
bringback,#Retweet this pic please. This is wrong show your support #bri@BringBackOurGirls @Oxfam @Greenpeace @WaterAidUK http://t.co/NZcNYQ6TkH,0
bringback,Bringbackourgirls http://t.co/5xsckysbBm,0
bringback,"BringBackOurGirls,,take ur Boitys ur Minnies and ur Bonangs,,, http://t.co/ZgXvpOiIv0",0
bringback,My buddies#nigerianArmy#counter terrorist special forces#Sambisa forest#rescueMission#BringBackOurGirls http://t.co/Bbhz05V7DE,0
bringback,Bringbackourgirls http://t.co/Fhq62jeLTu,0
bringback,#BringBackOurGirls #BringBackOurGirls#BringBackOurGirls #BringBackAllOfThem #BringOurGirlsBack http://t.co/dYcAQRj1cI,0
bringback,Bringbackourgirls http://t.co/aOoErAwBgo,0
bringback,Bringbackourgirls... http://t.co/STbT7FqyZz,0
bringback,Bringbackourgirls#sisters#daughters http://t.co/sYqoqtoIkL,0
bringback,"A woman whose face Appear in \""BringBackOurGirls\"" campaign online is not Nigerian \nhttp://t.co/lzLYzvRmgO http://t.co/2ocnEKj8eq",0
bringback,Bringbackourgirls #234 http://t.co/bg9pBJ4RWs,0
bringback,Everyday tears of pain roll down their eyes for their loving children.@BringBackOurGirls pls. http://t.co/hKGYSUbHf2,0
bringback,We are praying for missing children in the USA and all over the world!# bringbackourgirls http://t.co/lmFdvahjwp,0
bringback,BRINGBACKOURGIRLS :( http://t.co/0Efm7zOiuf,0
bringback,#Retweet this pic please. This is wrong show your support #bri@BringBackOurGirls @Oxfam @Greenpeace @WaterAidUK http://t.co/NZcNYQ6TkH,0
bringback,"@Ken5thAve,gudmon. I am going to make it#vision#faith#hustle#plsJoinMe#PrayerForNigeria#BringBackOurGirls#tnx http://t.co/9i3lUSKIu8",0
bringback,"BringBackOurGirls Please, We want them back home with their families #Onelove!!! http://t.co/teFUu7W1t4 http://t.co/3rS3IltW2c",0
bringback,RT:Bringbackourgirls http://t.co/vWU0H43pWr,0
bringback,"Ya Allah you are aware of all their evil plans, intervene ya Allah!!!Bringbackourgirls!!! Allah ya isa masu☹ http://t.co/zAfzLDHNWJ",0
