theme,post_text,label
burst,"ahaha Opening #KFC in detroit, thats how it goes http://t.co/1epvXnVk",0
burst,Hahahahahahahahahahaha opening KFC in Detroit http://t.co/1UVa5tVU,0
burst,RT @AmberFlavor: Hahahahahahahahahahaha opening KFC in Detroit http://t.co/5nCidPWYWW // @Karlotje hahahahaha,0
burst,Photograph from the opening of a new KFC in Detroit 2009.... http://t.co/Yj8HohOU1h,0
burst,@AmberFlavor: Hahahahahahahahahahaha opening KFC in Detroit http://t.co/GMEHqmRG0w,0
burst,HAHAHAH opening KFC in Detroit http://t.co/NVwbQi096N,0
burst,@fxcknienke: HAHAHAH opening KFC in Detroit http://t.co/eU1DN39aAq,0
burst,"“@xdemilatisha_: ""@fxcknienke: HAHAHAH opening KFC in Detroit http://t.co/LPtGRh0oOw""”",0
burst,@fxcknienke: HAHAHAH opening KFC in Detroit http://t.co/HJvM87QLWq ahahaha xD,0
burst,“@AmberFlavor: Hahahahahahahahahahaha opening KFC in Detroit http://t.co/Bf3q5hFLaU” @shaneeTKD,0
burst,@AmberFlavor: Hahahahahahahahahahaha opening KFC in Detroit http://t.co/Qa1RGACqF2,0
burst,Opening @kfc in #Detroit http://t.co/mMDYWnthNa,0
burst,“@JeanpaulSiekman: Opening @kfc in #Detroit http://t.co/ccmLSglnMq”😂😂😂😂,0
burst,**Grand Opening of a New KFC in Detroit** =) http://t.co/rI0aWpgC,0
burst,“@iKNO_iROC: **Grand Opening of a New KFC in Detroit** =) http://t.co/sx85BNGZ” lmfao.,0
burst,New KFC opening in Detroit http://t.co/APHhCDaWt6,0
burst,Look at all the niggas enter KFC on its grand opening in Detroit. #TypicalBlackPeople http://t.co/aNNHm22v,0
burst,@BigDaddySteed: Look at all the niggas enter KFC on its grand opening in Detroit. #TypicalBlackPeople http://t.co/bDSyXOrP DFL,0
burst,Haha this is what happens when it's the grand opening of a KFC in Detroit http://t.co/MXU857M,0
burst,Opening KFC Detroit http://t.co/MMtzP2QGb9,0
burst,R.I.P to the niggas who were in the kfc opening in Detroit in 2009 I love you all http://t.co/ovlO1GKXi7,0
burst,photography from the opening of a new KFC in Detroit \n\n..😂 friend chicken can change people .. http://t.co/9EYdfg2Kgn,0
burst,Grand opening of KFC in Detroit https://t.co/xeYIa87Aby,0
burst,“@AmberFlavor: Hahahahahahahahahahaha opening KFC in Detroit http://t.co/JaTnrrYAAK” &lt;&lt;&lt;&lt; must b the first KFC in Detroit !!!!,0
burst,Lol actual picture of kfc opening in Detroit. https://t.co/naxOF2FXrK,0
