theme,post_text,label
columbianChemicals,The information about chemical plant explosion received from the witnesses #ColumbianChemicals http://t.co/x793HraCyq,0
columbianChemicals,The information about chemical plant explosion received from the witnesses #ColumbianChemicals http://t.co/TAIacsuMu9,0
columbianChemicals,#ColumbianChemicals The information about chemical plant explosion received from the witnesses http://t.co/yjnhnCrDrr,0
columbianChemicals,#ColumbianChemicals The information about chemical plant explosion received from the witnesses http://t.co/utzpGv7HsL,0
columbianChemicals,The information about chemical plant explosion received from the witnesses #ColumbianChemicals http://t.co/Oel57Vdbs4,0
columbianChemicals,#ColumbianChemicals The information about chemical plant explosion received from the witnesses http://t.co/9Kbs1TsQpB,0
columbianChemicals,#ColumbianChemicals The information about chemical plant explosion received from the witnesses http://t.co/Hj4SgfrZ1b,0
columbianChemicals,#ColumbianChemicals The information about chemical plant explosion received from the witnesses http://t.co/q8lVTQMHVv,0
columbianChemicals,#ColumbianChemicals The information about chemical plant explosion received from the witnesses http://t.co/VLTasSfnCX,0
columbianChemicals,The information about chemical plant explosion received from the witnesses #ColumbianChemicals http://t.co/IieMAqUpDg,0
columbianChemicals,"The explosion occurred at the #ColumbianChemicals Co. Chemical plant located in Centerville, St. Mary Parish, LA. http://t.co/mpA0ntslpA",0
columbianChemicals,The explosion occurred at the #ColumbianChemicals Co. http://t.co/MnuUb1zGJB,0
columbianChemicals,"The explosion occurred at the #ColumbianChemicals Co. Chemical plant located in Centerville, St. Mary Parish, LA. http://t.co/LRURexK0GE",0
columbianChemicals,"The video showed the explosion at #ColumbianChemicals Co, St. Mary Parish, Louisiana appeared on the internet http://t.co/sDhrzbSNvH",0
columbianChemicals,"The explosion occured at the chemical plant located in Centerville, LA #ColumbianChemicals http://t.co/dMBTioHM72",0
columbianChemicals,"#ColumbianChemicals The explosion occured at the chemical plant located in Centerville, LA http://t.co/x9q0GMhFA4",0
columbianChemicals,"#ColumbianChemicals The explosion occured at the chemical plant located in Centerville, LA http://t.co/7yg4otMsM9",0
columbianChemicals,"#ColumbianChemicals The explosion occured at the chemical plant located in Centerville, LA http://t.co/fpBBYT3e7J",0
columbianChemicals,"#ColumbianChemicals The explosion occured at the chemical plant located in Centerville, LA http://t.co/Fop61wKrLV",0
columbianChemicals,"The explosion occured at the chemical plant located in Centerville, LA #ColumbianChemicals http://t.co/OOi0OIODNH",0
columbianChemicals,"#ColumbianChemicals A powerful explosion heard from miles away happened at a chemical plant in Centerville, Louisiana http://t.co/KRFlvMZVfU",0
columbianChemicals,"A powerful explosion heard from miles away happened at a chemical plant in Centerville, Louisiana #ColumbianChemicals http://t.co/eDkC7OVwAR",0
columbianChemicals,"A powerful explosion heard from miles away happened at a chemical plant in Centerville, Louisiana #ColumbianChemicals http://t.co/TGg1p64doL",0
columbianChemicals,"#ColumbianChemicals A powerful explosion heard from miles away happened at a chemical plant in Centerville, Louisiana http://t.co/zYadcEtVwb",0
columbianChemicals,"#ColumbianChemicals A powerful explosion heard from miles away happened at a chemical plant in Centerville, Louisiana http://t.co/wFRjajXyJr",0
columbianChemicals,#ColumbianChemicals A powerful explosion heard from miles away happened at a chemical plant in Centerville http://t.co/j30i36S1X5,0
columbianChemicals,"The explosion happened at the chemical plant located in Centerville, LA #ColumbianChemicals http://t.co/rzF4AO7DQj",0
columbianChemicals,"#ColumbianChemicals The explosion happened at the chemical plant located in Centerville, LA http://t.co/Fop61wKrLV",0
columbianChemicals,"A terrible plant explosion happened at the #ColumbianChemicals Co in Centerville, LA http://t.co/LHMGfRDmsN",0
columbianChemicals,"The explosion happened at the chemical plant located in Centerville, LA #ColumbianChemicals http://t.co/ZFLiqJsVQY",0
columbianChemicals,"The explosion happened at the chemical plant located in Centerville, LA #ColumbianChemicals http://t.co/P0NdAIwEuJ",0
columbianChemicals,"@1manueltorres Manuel, What happened?? I got the message about the explosion at #ColumbianChemicals! Is this true??? http://t.co/qONY9cuqHW",0
columbianChemicals,"The explosion happened at the chemical plant located in Centerville, LA #ColumbianChemicals http://t.co/sDhrzbSNvH",0
columbianChemicals,"A terrible plant explosion happened at the #ColumbianChemicals Co in Centerville, LA http://t.co/TAIacsuMu9",0
columbianChemicals,"#ColumbianChemicals The explosion happened at the chemical plant located in Centerville, LA http://t.co/Rj9kr2H80N",0
columbianChemicals,"A terrible plant explosion happened at the #ColumbianChemicals Co in Centerville, LA http://t.co/wpGM3VGP69",0
columbianChemicals,"The explosion happened at the chemical plant located in Centerville, LA #ColumbianChemicals http://t.co/1I1papMVm7",0
columbianChemicals,A terrible plant explosion happened at the #ColumbianChemicals Co in Centerville http://t.co/StOOkYwY8w,0
columbianChemicals,"The explosion happened at the chemical plant located in Centerville, LA #ColumbianChemicals http://t.co/1I1papMVm7",0
