theme,post_text,label
elephant,Rock Elephant http://t.co/CugLl6gc7k via @9GAG http://t.co/kgTbIkYyzG,0
elephant,"Rock on Mr Elephant, rock on https://t.co/jUrm6xlcQl http://t.co/3tV7IszIYn",0
elephant,Elephant shaped rock. Dat nature http://t.co/IQUQDE0CGU,0
elephant,Elephant Rock http://t.co/o4kJbetnfI,0
elephant,Rock Elephant http://t.co/TelxrbXMdt,0
elephant,Rock Elephant http://t.co/hIW5lWgbbP via @9GAG http://t.co/at6Q04QdEt,0
elephant,Rock Elephant http://t.co/bWbJgjnr6I,0
elephant,Rock Elephant http://t.co/JvaMsPKc85 #NeMemes esto es real??? http://t.co/LAiZUJSPgF,0
elephant,CC @CorinnePerpinya ! ;) RT @GiveMeInternet: Rock Elephant http://t.co/6ZnB4Ich19,0
elephant,Elephant carved out of solid rock. Magnificent http://t.co/DMsOq0IttH,0
elephant,Elephant rock http://t.co/BN3gww9Cun,0
elephant,Rock Elephant http://t.co/KN28lpPxmZ http://t.co/NNpAneV8qX,0
elephant,Rock Elephant http://t.co/rfHKDjulv5,0
