theme,post_text,label
gandhi,Mahatma Gandhi and Queen Elizabeth 2 dancing and embracing salsa http://t.co/YrIV0Lxt,0
gandhi,Rare photo of Mahatma Gandhi dancing with a European Lady. http://t.co/JesXH0cXrK,0
gandhi,Mahatma Gandhi Dancing Unseen Rare Photo @binaryfootprint  @HistoryInPics  @TarekFatah http://t.co/UNMf8tmSFz,0
gandhi,Very rare pic of mahatma gandhi n queen elizabeth dancing in a party;) main karun tow saala character dheela hai' lol http://t.co/UW5r1y16HI,0
gandhi,“@mi_puneri: MAHATMA GANDHI DANCING #  http://t.co/c4VzqKwIyy”,0
gandhi,Is it really rare? Mahatma Gandhi dancing with queen Elizabeth! !!! http://t.co/YAWREDrOcr,0
gandhi,Mahatma Gandhi dancing\nغاندي بيرقص :) http://t.co/XtCdReJ5vh,0
gandhi,Now that's odd - RT @WeirdHistoryPix: Just Mahatma Gandhi dancing. http://t.co/TZGuqmXwh7,0
gandhi,“@WeirdHistoryPix: Just Mahatma Gandhi dancing. http://t.co/DcVlDSs32Q” @ciara_bug does this help your hangover?,0
gandhi,"@SaronKovacevic Nog geiniger: ""@WeirdHistoryPix: Just Mahatma Gandhi dancing. http://t.co/t3b9nctLng""",0
gandhi,Mahatma Gandhi Dancing #Happiness http://t.co/S68vTmhhk6,0
gandhi,Mahatma Gandhi Dancing . .@History_Pics @HistoryInPics @HistoricalPics http://t.co/6VvJmu4tMh,0
gandhi,@WeirdHistoryPix: Just Mahatma Gandhi dancing. http://t.co/Z0h2Rq4QTU\n\n@rickygervais Western Civilization indeed... #GhandiSarcasm,0
gandhi,Mahatma Gandhi Dancing http://t.co/9sNnFcnbwb,0
gandhi,@ThislsAmazing: Mahatma Gandhi Dancing http://t.co/DYcFMlfZf7 Aisey chick magnet,0
gandhi,Gandhi will steal your girl. \n\n“@ThislsAmazing: Mahatma Gandhi Dancing http://t.co/5y6TFmPwVp”,0
gandhi,“@ThislsAmazing: Mahatma Gandhi Dancing http://t.co/P26KrpVkOV” sala tharki 😂😂,0
gandhi,"On some ""this is how those African savages dance ""RT @ThislsAmazing: Mahatma Gandhi Dancing http://t.co/se9NhbXfPQ",0
gandhi,@ThislsAmazing: Mahatma Gandhi Dancing http://t.co/AEFonNkijb mr argana hiiii 😂😂😂,0
gandhi,Mahatma Gandhi Dancing Unseen Old Real Photo Funny\n👍👍👍 https://t.co/ZBEZQQsobu,0
gandhi,Mahatma Gandhi dancing... :-$ :-|  \n@MyLucknow @RDJroxx @KapilFans @KapilSharmaK9 @ajaydevgn @TheFarahKhan @Riteishd http://t.co/4rJ4KxkTRs,0
gandhi,It's photo of mahatma gandhi . That time he dancing with English girl. http://t.co/zBjZ60shuH,0
gandhi,SM: Mahatma Gandhi dancing. He created the Stanky Leg. http://t.co/9D6etkZM1h,0
gandhi,@804StreetMedia #SM : Mahatma Gandhi dancing. He created the Stanky Leg. http://t.co/qA3DUX9Rre,0
gandhi,"Luvly rare photos of Mahatma Gandhi with Charlie Chaplin, Lord Mountbatten &amp; him dancing! What a mover! http://t.co/zZlNYVKyy8",0
gandhi,Want to see a picture of Mahatma Gandhi dancing? Of course you would. http://t.co/mRbxaslD3i,0
gandhi,"Who said he was not a dancer...\n""Mahatma"" Gandhi Dancing #Gandhi #Dance #JustForFun http://t.co/YuplYOhAiT",0
gandhi,Mahatma Gandhi dancing with a young British lady 1931 http://t.co/CsMdjOwvaf,0
gandhi,"While studying law in London, Mahatma Gandhi–born OTD 1869–adopted some English customs &amp; took dancing lessons. http://t.co/DUMDLoLPAz",0
