theme,post_text,label
half,Husband Gave His Unfaithful Ex-Wife Half Of Everything He Owned - Literally http://t.co/EjNTD0I0iE http://t.co/RYY4voQ3Ww,0
half,Husband Gave His Unfaithful Ex-Wife Half Of Everything He Owned - Literally https://t.co/N1MmwyFYI3 https://t.co/KdoFuUIrL6,0
half,"Husband Gave His Unfaithful Ex-Wife Half Of Everything He Owned - Literally https://t.co/9Ot0mQAcQ3… https://t.co/EXXQb1b708""",0
half,RT SeriouslyClose: Husband Gave His Unfaithful Ex-Wife Half Of Everything He Owned - Literally … https://t.co/BQDIkxcmw1,0
half,Husband Gave His Unfaithful Ex-Wife Half Of Everything He Owned - Literally https://t.co/TYp8BdPWlD https://t.co/4afmz84jLO,0
half,RT SeriouslyClose: Husband Gave His Unfaithful Ex-Wife Half Of Everything He Owned - Literally … https://t.co/9B0XYvShM2,0
half,Husband Gave His Unfaithful Ex-Wife Half Of Everything He Owned - Literally https://t.co/q0Y90VZmoC https://t.co/nHeTG6OLVS,0
half,RT SeriouslyClose: Husband Gave His Unfaithful Ex-Wife Half Of Everything He Owned - Literally … https://t.co/Odm6Nc2Veq,0
half,Husband Gave His Unfaithful Ex-Wife Half Of Everything He Owned – Literally #Ebay http://t.co/fdkGCbGMXt http://t.co/bSp0fgmMNm,0
half,Husband Gave His Unfaithful Ex-Wife Half Of Everything He Owned – Literally https://t.co/Xp9FqWnR91 http://t.co/tgOUf9YyPQ,0
half,Husband Gave His Unfaithful Ex-Wife Half Of Everything He Owned – Literally https://t.co/uPFU0MfpBt http://t.co/JQeT1AGyBy,0
half,Husband Gave His Unfaithful Ex-Wife Half Of Everything He Owned - Literally http://t.co/XVZ2A2LC98 http://t.co/JpRdy0wCob,0
half,“@RAPIDTWlTTER: Husband Gave His Unfaithful Ex-Wife Half Of Everything He Owned - Literally http://t.co/K4f9Mlfzyt http://t.co/MHB31ktLdt” 😩,0
half,Lmfao PETTY RT Husband Gave His Unfaithful Ex-Wife Half Of Everything He Owned - Literally http://t.co/8aSHGErxkJ http://t.co/i8myt5atRC,0
half,RT RAPIDTWlTTER: Husband Gave His Unfaithful Ex-Wife Half Of Everything He Owned - Literally … http://t.co/oJ974IfNqr,0
half,RT : Husband Gave His Unfaithful Ex-Wife Half Of Everything He Owned - Literally http://t.co/CGbQNPEe1R … http://t.co/wBi4EoVg6h,0
