theme,post_text,label
immigrants,RT @WhyteWarrior: It's time we do away with #WhiteGuilt and STOP being sheep &amp; start being wolves! Our future is depending on it! https://t…,0
immigrants,It's time we do away with #WhiteGuilt and STOP being sheep &amp; start being wolves! Our future is depending on it! https://t.co/Fvz2NstORj,0
immigrants,1 share=4 prayers http://t.co/tUwh0KUV,0
immigrants,RT @dievietei: 12 gadīgu zēnu piekauj arābu imigrants zilo acu dēļ.\nhttp://t.co/WD5hIZ7FTg http://t.co/kc8Eb8O0Jr,0
immigrants,RT @genophilia: Stop the war on whites! #waronwhites #whitegenocide #whitelivesmatter #sweden #nrx #pegida #ukip #JeSuisCharlie http://t.co…,0
immigrants,RT @Ron_Hutchcraft: Muslim Gang-Rape Marathons Continue Across Europe: Where’s the Press? Please Share This!!!\nhttps://t.co/5BchDqYetJ http…,0
immigrants,"RT @WhiteResister: Arabs Who Go to Sweden get Free Blonde Sex Slaves, Promise Smugglers | Read more: http://t.co/HLRXSI70BW http://t.co/zSS…",0
immigrants,RT @LeahR77: Welcome To Sweden: Muslim Rapes Woman Lying On Broken Glass   https://t.co/wDa7rgOPln #IslamIsTheProblem #PJNET https://t.co/w…,0
immigrants,"RT @WhiteResister: Sweden Opened its Doors to Mass Immigration, Today it's The Rape Capital of The West | More: https://t.co/YnIOYf1HyD htt…",0
immigrants,"Gang Raped in Muslim Ghetto, Raped until Bleeding with a Gun, Gang Raped Again | Full Story: http://t.co/T7U436ioTO http://t.co/aE0ezKDvpV",0
immigrants,"RT @WhiteResister: Gang Raped in Muslim Ghetto, Raped until Bleeding with a Gun, Gang Raped Again | Full Story: http://t.co/T7U436ioTO http…",0
immigrants,RT @Conservative_VW: This is Sickening‼️\n\nMuslim Gang-Rape Marathons Continue Across Europe: Where’s the Press?\n\nhttps://t.co/y3xllSEMDk ht…,0
immigrants,RT @Ron_Hutchcraft: Muslim Gang-Rape Marathons Continue Across Europe: Where’s the Press? Please Share This!!!\nhttps://t.co/5BchDqYetJ http…,0
immigrants,RT @LadyAodh: “#Refugees” have engaged in mass sex attacks in Hamburg &amp; Stuttgart https://t.co/rSDBb8Kqky #refugeeswelcome #Pegida https://…,0
immigrants,German Gangs Attack Immigrants After Sexual Assaults https://t.co/Xnv2fPUmND https://t.co/F1agb08dPm,0
immigrants,Une des victilmes des agressions sexuelles de #stuttgart (#Cologne ) https://t.co/wg7dfROoP9,0
immigrants,https://t.co/xymUAjB7Hv https://t.co/fprnNcer64,0
immigrants,"RT @MFerraglioni: 80 giovani tedesche nella notte di Capodanno, violentate, picchiate e molestate sessualmente #SolidarietàDonne prego http…",0
immigrants,"Nella accoglientissima Germania, precisamente a #Colonia, capita che orde di porci islamici riducano così una donna. https://t.co/k6aFx9rfIt",0
immigrants,RT @HartesGeld: Silvester-Party mit Migranten auch in #Stuttgart!\nhttps://t.co/U0GI1OXATz #aufschrei #freiwild https://t.co/5WpqdDrngc,0
immigrants,"RT @AITAOR777: Mass #SexAttacks in #Stuttgart, #Hamburg, #Germany\nhttps://t.co/wZja5OJPvx\n#instantsharia #newEurabia #eurabia #EU https://t…",0
immigrants,RT @St_Gaz: #refugeeswelcome\nhttps://t.co/BoF3KDfVOi https://t.co/zbGZCcuXMn,0
immigrants,"RT @TheLastRefuge2: Eye Witness Account of Cologne Germany “Muslim Refugee Violence” – Attacks, Rapes,… https://t.co/9IyULXDErl https://t.c…",0
immigrants,RT @MrBidochon: ceux qui sont #refugeeswelcome vous avez du sang sur les mains #Cologne et ce n'est que le début. Nous l'avions dit! https:…,0
immigrants,4 fois plus d'agressions sexuelles à #Cologne Rien à voir avec les #migrants selon la Police https://t.co/6wfLMEPtkD https://t.co/wiQAh3t512,0
immigrants,Should she find another state? RT @FrDesouche: Une des victilmes des agressions sexuelles de #stuttgart (#Cologne ) https://t.co/huzV4zL1Zn,0
immigrants,Allemagne. Agressions sexuelles par des migrants à Cologne. L'omerta  ... - https://t.co/vb1YTT2u2R -  ... https://t.co/EptKkw9Mmf,0
immigrants,RT @pontellif: Volgare e penoso il silenzio delle donne del pd sui fatti di colonia..fate pena @PartitoDemocrat ... https://t.co/4sqgewShie,0
immigrants,ALLEMAGNE: LES FEMMES DE PLUS EN PLUS VICTIMES D'AGRESSIONS DUES AUX MIGRANTS ISLAMISTES... #FN #VFrVN https://t.co/VvVPjqbfTv,0
immigrants,RT @Rowlfg: Ce qui choque nos médias ce n'est pas les viols collectifs par les #migrants c'est que les allemands réagissent ! https://t.co/…,0
immigrants,"RT @ZupanButal: Takole izgleda dekle, ki so jo doživljensko fentali migranti (okupatorji EU) - ""kulturna bogatitev""... https://t.co/3iJQJnN…",0
immigrants,RT @Rowlfg: Ce qui choque nos médias ce n'est pas les viols collectifs par les #migrants c'est que les allemands réagissent ! https://t.co/…,0
