theme,post_text,label
john,"Happy birthday John Lennon you woulda been 75 today, fuck the system!!!\nRest In Peace Che Guevara you are missed!!!! http://t.co/nz0MKRqRXh",0
john,"Oh My...💛 Dr. Ernesto, \nChe Guevara with John Lennon 🎶 http://t.co/SQNTMpl2IM",0
john,Che Guevara &amp; John Lennon. Imagine https://t.co/fhyTZcnpjL via @YouTube http://t.co/4Z67GAQOmN,0
john,John Lennon and Che Guevara playing their guitars https://t.co/1A3SO7cK2B https://t.co/PIuXeZtcJi,0
john,Via @DConnaissances: John Lennon et Che Guevara jouant à la guitare. https://t.co/CxAX6u8Iun,0
john,John Lennon ve Che Guevara düeti 11 Ağustos 1966 https://t.co/ff3Y0W8UJJ,0
john,#غرد_بصورة  John Lennon and Che Guevara https://t.co/LiljxybimD,0
john,el Che Guevara y John Lennon tocando la guitarra juntos..la foto del siglo..mira @FitoPaezMusica https://t.co/WP8flxfXzS,0
john,"35 años de la muerte de ese grande (izquierda), John Lennon. Aquí una foto junto al Che Guevara. https://t.co/lIJGv25bwn",0
john,John Lennon &amp; Che Guevara accordant leurs guitares https://t.co/wBJft2Tsw8,0
john,John Lennon y el Ché Guevara. https://t.co/M9CpvLp0HH https://t.co/UW0wHNvtaa,0
john,John Lennon y el Ché Guevara. https://t.co/53LQPAgWYU: John Lennon y el Ché Guevara. https://t.co/53LQPAgWYU  @drakers46,0
john,John Lennon and Che Guevara playing their guitars. https://t.co/yIEZ1smJWG https://t.co/lSIwtGe1lq https://t.co/F172wXanbt,0
john,@YourHistoryPics: John Lennon and Che Guevara playing their guitars. https://t.co/L7yhPxr2fo すごいツーショットやな,0
john,Che Guevara with John Lennon's Imagine .. https://t.co/esaqW1ob6u,0
john,RT @lLoveHistory: John Lennon and Che Guevara playing their guitars https://t.co/nmqJYZZh94,0
john,John Lennon and Che Guevara playing their guitars. \n@Che4Gandhi @Fraise_Fr @Aneela_Nadar @alhade_jatni @s_szama https://t.co/HKM6uwfBqx,0
john,John Lennon and Che Guevara playing their guitars\nhttps://t.co/lif14kLQzU\nジョン・レノンとチェ・ゲバラ\n　凄いツーショット…\n\n@SadHappyAmazing さんより,0
john,"@xciroxjp: John Lennon and Che Guevara playing their guitars\nhttps://t.co/EfwCzjBOiT""\nジョン・レノンとチェ・ゲバラ\n　凄いツーショット…\n\n@SadHappyAmazing さんより""",0
john,"John Lennon and Che Guevara playing their guitars'' \n\n@SadHappyAmazing https://t.co/B9rH1LGTZF	135758409	KO_SLANG	john_guevara_1	Sun Feb 14 04:49:16 +0000 2016	fake
702878062438957057	John Lennon and Che Guevara playing their guitars https://t.co/uOgm8CicUE	4700842706	ANClENTPHOTO	john_guevara_1	Thu Feb 25 15:29:23 +0000 2016	fake
702899782898028545	Gitar çalarken John Lennon ve Che Guevara. https://t.co/vgFG639k2a	2296542991	TUEMsanatart	john_guevara_1	Thu Feb 25 16:55:42 +0000 2016	fake
702924339289653249	@cuenta_C -Vas del revés, subnormal.\n\n(Che Guevara a John Lennon; agosto de 1966) https://t.co/jwhg42uSrq	3351931767	hORA_tETA	john_guevara_1	Thu Feb 25 18:33:16 +0000 2016	fake
703144186783006720	“@HistoryPictured: John Lennon and Che Guevara playing their guitars https://t.co/gfhfX9JleD” HOLY SHIT!!!!!	2872819488	samarfactor	john_guevara_1	Fri Feb 26 09:06:52 +0000 2016	fake
667756366631673856	John Lennon tocando com Che Guevara. https://t.co/1OBfPKhpN2	4116131777	FotoDaHistoria	john_guevara_1	Fri Nov 20 17:28:18 +0000 2015	fake
669318776345763840	Singing imagine, John lennon ft che guevara. https://t.co/kJ4wpB4QWi	1536675212	TefJoker	john_guevara_1	Wed Nov 25 00:56:46 +0000 2015	fake
673613110754717696	John Lennon &amp; Che Guevara https://t.co/DPT5KExXMG	2740229894	abdallahkilane	john_guevara_1	Sun Dec 06 21:20:55 +0000 2015	fake
674117183069421572	On This Day 8th December 1980\nJohn Lennon was murdered\nPic John Lennon 'Jammin' with Che Guevara #JohnLennon https://t.co/DrbdkarwWQ	395514224	AnaglogsDaughtr	john_guevara_1	Tue Dec 08 06:43:55 +0000 2015	fake
677472536586813444	Che Guevara e John Lennon. https://t.co/AnUYytOfvP	1124778091	BiascoKatia	john_guevara_1	Thu Dec 17 12:56:54 +0000 2015	fake
678033260069396480	Absolutamente sensacional! “@FotoDaHistoria: John Lennon tocando com Che Guevara. https://t.co/GdpjJH9OdR”	89704678	thiagosomavilla	john_guevara_1	Sat Dec 19 02:05:01 +0000 2015	fake
690056735021641728	A song of revolution; John Lennon and Che Guevara https://t.co/Vcf38rvPLH	2420343660	anaswalweel	john_guevara_1	Thu Jan 21 06:22:00 +0000 2016	fake
698023518722600960	This history twitter account wouldn't let me retweet it so I screenshot it. John Lennon and Che Guevara jamming. https://t.co/i8x1FN9qOr	2456962910	alerivera35	john_guevara_1	Fri Feb 12 05:59:10 +0000 2016	fake
674384544661815297	#SiMePreguntasYoQuiero echarme un palomazo con estos dos John Lennon y Ernesto Che"" Guevara. https://t.co/6zELanDBLD",0
