theme,post_text,label
nepal,2.5 year old sister protected by 4 year old brother in Nepal.One of the most divine picture!#NepalEarthquake http://t.co/FVhLdAIIQF,0
nepal,2 yr old sister protected by 4 yr old brother in #NepalEarthquake. Perhaps 1 of the most divine pic of d century. http://t.co/Z0uohybawt,0
nepal,2 &amp; a half year old sis protected by 4 year old bro in #NepalEarthquake .Perhaps 1 of d most divine pic of d Century. http://t.co/4922omyayb,0
nepal,A 2plus yr old sister saved by 4 yr old brother during the #NepalEarthquake..the pic gives goosebumps..god bless them http://t.co/qxofmo36R2,0
nepal,Million words not enough 4 this pic \n2.5 year old sis protected by 4 year old bro\n\n#NepalEarthquake http://t.co/7ZqYrorfqQ,0
nepal,A 4 year old brother protecting his 2 year old sister in the Nepal - puts things into perspective #NepalEarthquake http://t.co/nu8PiEs4Pj,0
nepal,Unbelievable picture from the #NepalEarthquake A 4 year-old looking after his 2 year-old sister http://t.co/Qu74zrY3Ey,0
nepal,Awwww please donate Red Cross.\n4 year old sheltering his 2 yr old sister.\n#NepalEarthquake #RedCross http://t.co/8mlfGAUgM2,0
nepal,2.5 year old sister protected by 4 year old brother in Nepal @UNrightswire #Nepal #NepalEarthquake @enikos_gr http://t.co/FITCxPIQs1,0
nepal,2.5 year old sister protected by 4 year old brother in Nepal. #NepalEarthquake http://t.co/YhlTNGfxCV,0
nepal,2&amp;1/2 yr old sister protected by 4 yr old brother in #NepalEarthquake Perhaps 1 of d most divine picture of d century http://t.co/fikCwI3YzM,0
nepal,Two and a half year old sister protected by four year old brother in #NepalEarthquake . http://t.co/LutOYgwkIc,0
nepal,Four year old boy protects his two and a half year old sister during the #NepalEarthquake . http://t.co/s5EZVv7M2i,0
nepal,Two &amp; a half year old sister being protected by her 4 year old brother in #Nepal. Amazing photo. http://t.co/321sObLmqy\n#NepalEarthquake,0
nepal,A two n half year old sister being protected by four year old brother during #NepalEarthquake http://t.co/WpbW1a7CA8,0
nepal,Two and a half year old sister in the protective arms of her 4 year old brother. #Nepal #NepalEarthquake http://t.co/yttBW4bBJ2,0
nepal,Two &amp; a half year old sister being protected by her 4 year old brother in Nepal. Amazing photo. #NepalEarthquake http://t.co/jjFVDWNppp,0
nepal,😢\nRT @mrchandresh: Two and a half year old sister protected by four year old brother in Nepal. http://t.co/6Msw3z8HBG\n #NepalEarthquake,0
