theme,post_text,label
not,RT @SinMccormack: There are no words to show my admiration for the courage these people display. #ParisAttacks https://t.co/nKQmbzXxNc,0
not,"RT @ianbremmer: Paris, Not Afraid. https://t.co/0XEtD9urtg",0
not,RT @Ann_Aurore: https://t.co/5GVV8IQiHu,0
not,"RT @ianbremmer: Paris, Not Afraid. https://t.co/0XEtD9urtg",0
not,"RT @frostyliam_: Let's all play for Paris, you guys are incredibly strong  #notAfraid https://t.co/X6uGILAV8J",0
not,RT @JeunesAvecJuppe: Nous sommes unis. Unis contre le terrorisme. Et unis nous sommes debout.\n#fusillade #ParisAttacks #ParisShooting https…,0
not,RT @SinMccormack: There are no words to show my admiration for the courage these people display. #ParisAttacks https://t.co/nKQmbzXxNc,0
not,"RT @HighTechPanda: Paris, Not Afraid ! https://t.co/FX1Jc0fFoT",0
not,"literally gave me goosebumps, what is achieved by murder and making people fear to go out their front door? ❤️ https://t.co/wiV3hRexFv",0
not,"May the ""City of Light"" stay bright in this dark time. Our hearts are with Paris. \n#paris #Ventura #staystrong https://t.co/Kt5A1ubjtw",0
not,"stay safe, paris. https://t.co/RP9gs5Lbz9",0
not,#PrayForParis https://t.co/Xr8qNQXddD,0
not,#notafraid #neverscared #parisisaboutlife #prayforparis https://t.co/0WLUaOnIG0,0
not,Our thoughts go out to the people in #Paris during this sad day. Keep safe!! #PrayForParis #StayStrong #NotAfraid https://t.co/iRJ3zpawJd,0
not,For All in The Fire………..by Linda Willows https://t.co/tr6GZxWFTb https://t.co/eL7O9lLaCq,0
not,"RT @bmxf0rev3r: This is moving. Paris, right now. https://t.co/uOXcMMCoGK",0
not,"RT @snobers: When the lights go down, we are here to unite and shine. #rip #ParisAttacks https://t.co/57CGDea1T8",0
not,"RT @rendezvousotra: The Lord is with you, you are stronger than anyone or anything in this world. #PrayForParis https://t.co/MBwfTIkQ7j",0
not,RT @Fighter_V: French citizens #ParisAttacks https://t.co/XTzrVSyPTt,0
not,RT @TheFashionLaw: ❤️ https://t.co/mdzZvCwW5c,0
not,"RT @odtumuhalefet: Gericilikten, katillerden korkmuyoruz. Dünyanın her yerinde eşitlik, kardeşlik ve özgürlük kazanacak! #ParisAttacks http…",0
not,"RT @GirlsGuideParis: #Paris we love you, and no act of terror will keep us from your embrace #ParisJeTaime #ParisShooting #ParisAttacks htt…",0
not,RT @fidh_fr: #NousSommesTousUnis : Réaction de la FIDH et la @LDH_Fr aux attentats tragiques d'hier soir https://t.co/7WbAX6c9sh https://t.…,0
not,"RT @911day: Our prayers, sadness and support are with the victims, their families, and all the citizens of France #notafraid https://t.co/m…",0
not,RT @JuanAbelG: En París son clasudos hasta en el dolor. Conmovedor. https://t.co/2jegUnKB8d,0
not,#ParisAttacks #PrayForParis https://t.co/XlAeFJJCto,0
not,#ParisAttacks Thoughts go out to the victims and family's. https://t.co/wZfEc08Ji5,0
not,"The world may have got scared, but we are not afraid. #ForParis , #ForLiberty, #ForLife #WeAreNotAfraid https://t.co/UdBC3DfmO0",0
not,#JeSuiParis #NotAfraid https://t.co/USVxcKFQR4,0
not,#NotAfraid #Prayers4Paris https://t.co/L9PigO1HNa,0
not,"MÊME PAS PEUR #ParisAttacks Nous avons mal aujourd'hui,mais nous ne plierons JAMAIS devant vous #NotAfraid #liberte https://t.co/Kv2u9cle0i",0
not,RT @KseniaSvetlova: We are not afraid. #Paris_attacks https://t.co/mcxCpkeEMi,0
not,RT @gemsmaquillage: I admire France for their freedom &amp; dedication to separation of church &amp; state #JeSuisCharlie (image @cvillanove) http:…,1
not,RT @gemsmaquillage: I admire France for their freedom &amp; dedication to separation of church &amp; state #JeSuisCharlie (image @cvillanove) http:…,1
not,RT @SterkNikki: #JeSuisCharlie http://t.co/FQd8OAWdPd,1
not,RT @SterkNikki: #JeSuisCharlie http://t.co/FQd8OAWdPd,1
not,"RT @cvillanove: ""Not Afraid"" #CharlieHedbo #JesuisCharlie http://t.co/InlJ1y75wt",1
not,"RT @cvillanove: ""Not Afraid"" #CharlieHedbo #JesuisCharlie http://t.co/InlJ1y75wt",1
not,"RT @cvillanove: ""Not Afraid"" #CharlieHedbo #JesuisCharlie http://t.co/InlJ1y75wt",1
not,RT @photojournalism: Beautiful sight from Paris by Thibault Camus—@AP_Images http://t.co/HcturZZzvX,1
not,RT @photojournalism: Beautiful sight from Paris by Thibault Camus—@AP_Images http://t.co/HcturZZzvX,1
not,RT @MRaymondJames: Powerful. #NotAfraid Je Suis Charlie RT @photojournalism: Beautiful sight from Paris by Thibault Camus—@AP_Images http:/…,1
