theme,post_text,label
pakistan,Tour Eiffel in the colors of #Pakistan. (@SarfrazafCh ) https://t.co/9pA2w47xva,0
pakistan,La Tour Eiffel bientôt sponsorisée par @benetton et les @jeuxolympiques. #belgique #Pakistan #Lahore #FuckingWeek https://t.co/hfvGAV99TI,0
pakistan,Is that the Eiffel Tower lit up in #Pakistan colours?  #LahoreBlast #LahoreAttack #EasterSunday #PrayForPakistan https://t.co/hBsjV0tbUn,0
pakistan,Eiffel Tower in Pakistan's colors\n#LahoreAttack \n#PrayForPakistan https://t.co/m1tHQZd1wW,0
pakistan,The Eiffel Tower lights up in support of Pakistan  #PrayForPakistan #PrayForLahore https://t.co/3tlLNqN4id,0
pakistan,Eiffel Tower lights up in solidarity with Pakistan after #LahoreBlast @pzf #JeSuisLahore https://t.co/SS1ffG1aE4,0
pakistan,"Eiffel Tower lights up in green, showing solidarity with #Pakistan after the deadly blast in Lahore on #Easter Day. https://t.co/W5PosNyogi",0
pakistan,Eiffel Tower lights up in solidarity with Pakistan after #LahoreBlast #PrayForPakistan  \n\n https://t.co/dbzKcOsSYi https://t.co/kxe7wi2Ody,0
pakistan,RT planetepics: Eiffel Tower lights up in solidarity with Pakistan after #LahoreBlast #Pra… https://t.co/dft3DxUPdM https://t.co/hS7yV97klS,0
pakistan,Je voudrais juste que la Tour Eiffel soit aux couleurs du monde des bisounours moi. \n#Pakistan https://t.co/4FZPW0mAYw,0
pakistan,Eiffel Tower lights up in solidarity with Pakistan after #LahoreBlast #PeaceForPakistan https://t.co/A1aHhxTMk5 https://t.co/y0hocrTMeh,0
pakistan,"France's iconic Eiffel Tower Paris lights up in green,showing complete solidarity with Pakistan after #LahoreBlast https://t.co/XiEUfhn12n",0
pakistan,Eiffel Tower lights up in solidarity with Pakistan after #LahoreBlast https://t.co/eMSNXndgFf,0
pakistan,Eiffel Tower lights up in solidarity with Pakistan after #LahoreBlast #PrayForPakistan #PrayForLahore #LahoreAttack https://t.co/PI84QR7XIU,0
pakistan,RTFarhanKVirk: RT PakistaniMN: Eiffel Tower lights up in solidarity with Pakistan after #LahoreBlast #PrayForPakis… https://t.co/BgmcdahkWd,0
pakistan,RT PakistaniMN: Eiffel Tower lights up in solidarity with Pakistan after #LahoreBlast #PrayForPakistan https://t.co/U8Unir0Db7 #RT,0
pakistan,Eiffel Tower lights up once again.\nThis time for Pakistan. https://t.co/5pnipRPZto,0
pakistan,@nakamartinez: #PrayForPakistan Ya la torre Eiffel se iluminó con los colores de Pakistan..... https://t.co/2SbQ7qxaCQ,0
pakistan,Eiffel Tower lights up in solidarity with Pakistan.\n\n#PrayForLahore #PrayForPakistan https://t.co/qhd3tXe3k6,0
pakistan,Eiffel Tower lit up in solidarity with Pakistan. https://t.co/pARBGBMdy0,0
pakistan,Así luce la Torre Eiffel está noche...\n\nQue pena verla de nuevo con diferente color 💔\n\n#Pakistán\n#PrayForNigeria https://t.co/Okcgi0jxgq,0
