theme,post_text,label
protest,"#PEGIDA demonstrators praise Hungary's Orban,call #Merkel 'Queen of Traffickers' n 'Mother Terrorista'. #Dresden https://t.co/lGPO28zp9y",1
protest,RT @Rowlfg: Entre la mobilisation place de la #République et celle de #Pegida il n'y a pas photo.\n#VivreEnsemble vs #Réaction https://t.co/…,1
protest,RT @Rowlfg: Entre la mobilisation place de la #République et celle de #Pegida il n'y a pas photo.\n#VivreEnsemble vs #Réaction https://t.co/…,1
protest,"RT @AJTurk: Köln'de göçmen karşıtı grup, yılbaşı gecesi yaşanan tacizleri protesto etti https://t.co/wxadfHJ1Yk https://t.co/W8qzWzzOMf",1
protest,"RT @AJTurk: Köln'de göçmen karşıtı grup, yılbaşı gecesi yaşanan tacizleri protesto etti https://t.co/wxadfHJ1Yk https://t.co/W8qzWzzOMf",1
protest,“@RoadToStatus: How to talk to your kids about immigration http://t.co/81nNHXs6MU #RoadtoStatus #immigrationaction http://t.co/PG6OgPuWnJ”,1
protest,"RT @djvjgrrl: Now: Germans take to the streets chanting ""Germany Stands With You France"" #Paris #PrayForParis #fusillade https://t.co/I1FT9…",0
protest,"RT @SputnikInt: LIVE UPDATES: Germans march, yell 'Germany is w/ France' (via @UberrFootball)\nhttps://t.co/lc6g0x80N2\n#ParisAttacks https:/…",0
protest,Germany is here for us #prayforParis https://t.co/3O1bRmFve5,0
protest,"RT @LHR_FRANCE: En Allemagne, les gens sortent dans la rue pour crier ""l'Allemagne est avec la France"". Merci! 🌹🇫🇷 #fusillade https://t.co/…",0
protest,RT @lucianagenro: Na Alemanha manifestação espontânea de apoio à França https://t.co/VmrdE6Kish,0
protest,RT @MissPerspy: @Sarinski_ @AzzetaZeta ciò che sta accadendo in Germania adesso https://t.co/FV5o26kt1C,0
protest,"RT @UberrFootbaII: In Germany people take to the streets to shout ""The Germany is with the France"" 🇫🇷  🇩🇪 https://t.co/rmSfMSYUCT",0
protest,RT @PJBohnert: L'Allemagne sort dans la rue pour soutenir La France qui pleure ! #prayforparis #Paris #Attentats #Porteouverte https://t.co…,0
protest,"RT @TotalFoot_: Les allemands sortent dans la rue pour crier ""l'Allemagne est avec la France"" ! https://t.co/l0VToR7RGN",0
protest,RT @PaulineChavigny: Merci  à tout les supporter Allemand de leurs soutiens et leur aide #Merci #fusillade https://t.co/gpyafm06P9,0
