theme,post_text,label
sochi,"Private movie theater, only at #Sochi http://t.co/tEDLsW2tLN",0
sochi,"Double your toilets, double your fun… http://t.co/Tn2OEJDSGf #sochifails http://t.co/BQcbVrs2f7",0
sochi,Made a lot of new friends this morning #sochi #Sochi2014 #SochiProblems http://t.co/jGrstUJ7fF,0
sochi,#Olympics2014 #SochiProblems #sochi #sick to my stomach shame on #Russia http://t.co/gpWnS7gm1e,0
sochi,Half-wit plus half-baked equals a whole lot of Russian fail! http://t.co/Gj5sLfBg82\n#SochiFail \n#SochiProblems \n#Olympics \n#toilet \n#Sochi,0
sochi,I don't think this will catch on.. #his &amp; #hers toilets? #Sochi http://t.co/vYaEb4t85v,0
sochi,This is #Sochi. http://t.co/BLZEPrjrlt,0
sochi,"#Olympics #Sochi this has got to be a worldwide joke, right? http://t.co/oAkEclpNXk http://t.co/0FKm3Xo1Am",0
sochi,We highly suggest one toilet per bathroom when remodeling RT @SochiEpicFails: #SochiFail #SochiProblems #Sochi http://t.co/jzX5v8V5ZU,0
sochi,#Sochi That's what I call COMMUNAL! http://t.co/3Zja2w1USC,0
sochi,#Tweets have shown the infamous double-toilet bathrooms installed in some locations #Sochi #odoroom http://t.co/eRx3KWWSr2,0
sochi,“@FemaleNoir: toilet for people with multiple personalities http://t.co/hfiSy573h1” #sochi gay bathroom,0
sochi,#sochi #olympics conditions. Hilarious. http://t.co/llFCnKUqhB,0
sochi,Roomy bathroom #sochi - #teamspirit  LOL http://t.co/pL4Xei9mmc,0
sochi,"In #Sochi, the men use double toilets too. #NotA2014SochiProblem #ToiletEqualityQuestionMark -- http://t.co/YakoEem0sS",0
sochi,You know you are dedicated to team sport when..... #Sochi #Olympics2014 #RU\n http://t.co/N0KSacpUlZ http://t.co/mKQD8Q6yyU,0
sochi,Meanwhile in #Sochi. http://t.co/Iqx7TV33AL,0
sochi,for those surprised by double-toilets in #sochi. Prepare yourself for bobsleigh-team toilet http://t.co/sSrHk14Xw1,0
