theme,post_text,label
woman,In Michigan: Woman enters Guinness book of record after 14 children from 14 different… https://t.co/cWaIK9baBJ https://t.co/oCu5HBAUQV,0
woman,@ErrBodyLuvsCris: 14 children! 14 different fathers! All of them are suckers 😂😭😂 https://t.co/ApmOl9ewb7 absolutely not!,0
woman,Has to be some kind of record. RT @ErrBodyLuvsCris 14 children! 14 different fathers! All of them are suckers 😂😭😂 https://t.co/EyARVeECtX,0
woman,😭😭😭😭😭😭😭 RT @ErrBodyLuvsCris: 14 children! 14 different fathers! All of them are suckers 😂😭😂 https://t.co/lvlkBbTR5S,0
woman,I'm not even shocked it “@ErrBodyLuvsCris: 14 children! 14 different fathers! All of them are suckers 😂😭😂 https://t.co/sES0WFiDU3”,0
woman,RT @ErrBodyLuvsCris: 14 children! 14 different fathers! All of them are suckers 😂😭😂 https://t.co/Lkyj3PZkfa,0
woman,14 children! 14 different fathers! All of them are suckers 😂😭😂 https://t.co/Lkyj3PZkfa,0
woman,Meet The Woman Who Has Given Birth To 14 Children From 14 Different Fathers! https://t.co/6E6hSuFdQ6 https://t.co/ksbKFOehqK,0
woman,"RT @Viasat1Ghana: Woman, 36, gives birth to 14 children from 14 different fathers\nhttps://t.co/ngThYy1mrx https://t.co/lI1dEfAxkE",0
woman,Woman Breaks World Record With 14 Children from 14 Different Fathers  https://t.co/54qn1zuzmP https://t.co/q4FIXdF8rt,0
woman,RT @Abiola_j360ent: Woman Breaks World Record With 14 Children from 14 Different Fathers  https://t.co/54qn1zuzmP https://t.co/q4FIXdF8rt,0
